%t(ns)	sin(t)	cos(t)	saw(t)	startConv
500		0		0		0		0
1500		0		0		0		0
2500		0		0		0		0
3500		0		0		0		0
4500		0		0		0		0
5500		0		0		0		0
6500		0		0		0		0
7500		0		0		0		0
8500		0		0		0		0
9500		0		0		0		0
10500		0		0		0		0
11500		511		-180		511		1
12500		511		-293		511		1
13500		511		-386		511		1
14500		511		-456		511		1
15500		511		-501		511		1
16500		511		-512		511		1
17500		511		-510		511		1
18500		511		-474		511		1
19500		511		-412		511		1
20500		511		-326		511		1
21500		511		-219		511		1
22500		511		-96		511		1
23500		511		40		511		1
24500		511		183		511		1
25500		511		329		511		1
26500		511		472		-494		1
27500		511		511		-464		1
28500		511		511		-433		1
29500		511		511		-403		1
30500		511		511		-373		1
31500		511		511		-342		1
32500		511		511		-312		1
33500		511		511		-282		1
34500		511		511		-252		1
35500		511		511		-221		1
36500		511		511		-191		1
37500		511		511		-161		1
38500		511		511		-131		1
39500		511		511		-100		1
40500		511		425		-70		1
41500		511		280		-40		1
42500		511		135		-10		1
43500		502		-7		21		1
44500		466		-139		51		1
45500		429		-257		81		1
46500		391		-357		111		1
47500		353		-435		142		1
48500		314		-489		172		1
49500		275		-512		202		1
50500		237		-512		232		1
51500		198		-489		263		1
52500		159		-435		293		1
53500		121		-357		323		1
54500		83		-257		353		1
55500		46		-139		384		1
56500		10		-7		414		1
57500		-26		135		444		1
58500		-60		280		474		1
59500		-93		425		505		1
60500		-124		511		511		1
61500		-154		511		511		1
62500		-183		511		511		1
63500		-210		511		511		1
64500		-234		511		511		1
65500		-257		511		511		1
66500		-278		511		511		1
67500		-297		511		511		1
68500		-314		511		511		1
69500		-328		511		511		1
70500		-340		511		511		1
71500		-350		511		511		1
72500		-357		511		511		1
73500		-362		472		511		1
74500		-364		329		511		1
75500		-364		183		511		1
76500		-362		40		511		1
77500		-357		-96		-502		1
78500		-350		-219		-472		1
79500		-340		-326		-442		1
80500		-328		-412		-412		1
81500		-314		-474		-381		1
82500		-297		-510		-351		1
83500		-278		-512		-321		1
84500		-257		-501		-291		1
85500		-234		-456		-260		1
86500		-210		-386		-230		1
87500		-183		-293		-200		1
88500		-154		-180		-170		1
89500		-124		-52		-139		1
90500		-93		87		-109		1
91500		-60		232		-79		1
92500		-26		377		-48		1
93500		10		511		-18		1
94500		46		511		12		1
95500		83		511		42		1
96500		121		511		73		1
97500		159		511		103		1
98500		198		511		133		1
99500		237		511		163		1
100500		275		511		194		1
101500		314		511		224		1
102500		353		511		254		1
103500		391		511		284		1
104500		429		511		315		1
105500		466		511		345		1
106500		502		511		375		1
107500		511		377		405		1
108500		511		232		436		1
109500		511		87		466		1
110500		511		-52		496		1
111500		511		-180		511		1
112500		511		-293		511		1
113500		511		-386		511		1
114500		511		-456		511		1
115500		511		-501		511		1
116500		511		-512		511		1
117500		511		-510		511		1
118500		511		-474		511		1
119500		511		-412		511		1
120500		511		-326		511		1
121500		511		-219		511		1
122500		511		-96		511		1
123500		511		40		511		1
124500		511		183		511		1
125500		511		329		511		1
126500		511		472		511		1
127500		511		511		511		1
128500		511		511		-511		1
129500		511		511		-481		1
130500		511		511		-450		1
131500		511		511		-420		1
132500		511		511		-390		1
133500		511		511		-360		1
134500		511		511		-329		1
135500		511		511		-299		1
136500		511		511		-269		1
137500		511		511		-239		1
138500		511		511		-208		1
139500		511		511		-178		1
140500		511		425		-148		1
141500		511		280		-118		1
142500		511		135		-87		1
143500		502		-7		-57		1
144500		466		-139		-27		1
145500		429		-257		3		1
146500		391		-357		34		1
147500		353		-435		64		1
148500		314		-489		94		1
149500		275		-512		125		1
150500		237		-512		155		1
151500		198		-489		185		1
152500		159		-435		215		1
153500		121		-357		246		1
154500		83		-257		276		1
155500		46		-139		306		1
156500		10		-7		336		1
157500		-26		135		367		1
158500		-60		280		397		1
159500		-93		425		427		1
160500		-124		511		457		1
161500		-154		511		488		1
162500		-183		511		511		1
163500		-210		511		511		1
164500		-234		511		511		1
165500		-257		511		511		1
166500		-278		511		511		1
167500		-297		511		511		1
168500		-314		511		511		1
169500		-328		511		511		1
170500		-340		511		511		1
171500		-350		511		511		1
172500		-357		511		511		1
173500		-362		472		511		1
174500		-364		329		511		1
175500		-364		183		511		1
176500		-362		40		511		1
177500		-357		-96		511		1
178500		-350		-219		511		1
179500		-340		-326		-512		1
180500		-328		-412		-489		1
181500		-314		-474		-459		1
182500		-297		-510		-429		1
183500		-278		-512		-398		1
184500		-257		-501		-368		1
185500		-234		-456		-338		1
186500		-210		-386		-308		1
187500		-183		-293		-277		1
188500		-154		-180		-247		1
189500		-124		-52		-217		1
190500		-93		87		-187		1
191500		-60		232		-156		1
192500		-26		377		-126		1
193500		10		511		-96		1
194500		46		511		-66		1
195500		83		511		-35		1
196500		121		511		-5		1
197500		159		511		25		1
198500		198		511		55		1
199500		237		511		86		1
200500		275		511		116		1
201500		314		511		146		1
202500		353		511		176		1
203500		391		511		207		1
204500		429		511		237		1
205500		466		511		267		1
206500		502		511		298		1
207500		511		377		328		1
208500		511		232		358		1
209500		511		87		388		1
210500		511		-52		419		1
211500		511		-180		449		1
212500		511		-293		479		1
213500		511		-386		509		1
214500		511		-456		511		1
215500		511		-501		511		1
216500		511		-512		511		1
217500		511		-510		511		1
218500		511		-474		511		1
219500		511		-412		511		1
220500		511		-326		511		1
221500		511		-219		511		1
222500		511		-96		511		1
223500		511		40		511		1
224500		511		183		511		1
225500		511		329		511		1
226500		511		472		511		1
227500		511		511		511		1
228500		511		511		511		1
229500		511		511		511		1
